"","S0","F0","L0","I0","J0","S1","F1","L1","I1","J1","N0","N1","cL0","cF0","cI0","cJ0","cL1","cF1","cI1","cJ1","cN0","cN1","Ct","Cl","Pt","Pl","LTBIEn","natdeath0","natdeath1","tbdeath0","tbdeath1","progAcute0","activation0","progAcute1","activation1","exogenous0","exogenous1"
"52",345.949184863747,0.00022963597279484,0.379703509721198,0.00050847301295604,0.000209709208733282,59.2415592798982,0.00144910723727582,4.95002657466937,0.00379222422961881,0.00156402468227217,346.329836191662,64.1983912107168,1818532789.36502,20910198.1209563,975594418.513527,402363799.725918,4656987611.35697,28551488.5941286,1623743176.68779,669679389.255418,3217401205.72542,6978961665.89431,4195.95900777686,209.704847569914,0,0,13.2694558582333,153.551469065778,36.4814492839497,0.0134165123927568,0.024658019316564,0.0490255742819176,0.0895528847156709,0.0808089396778039,0.197669342199355,8.41901999684252e-05,0.00193909877124362
"53",348.313609495066,0.00022097591209243,0.362699964743199,0.000486851827157431,0.000200791996511257,59.8812934414609,0.00145726188705668,4.97778660272576,0.00381364088612845,0.00157285754060665,348.677218079545,64.8659238045004,1822040305.38707,20956527.1456246,977574455.590833,403180425.18718,4703898237.3976,28854400.166509,1640349438.20515,676528299.372747,3223751713.3107,7049630375.14202,4097.90095082387,204.804120501748,0,0,13.5765309723303,157.103569949795,37.4504816041115,0.0134817816330238,0.0251553374550152,0.0492841899022338,0.0899685366227227,0.082493639466313,0.201640502487406,8.42466330799519e-05,0.0019668400882993
"54",350.696485224398,0.000212727653653762,0.346486446780455,0.00046624382730032,0.00019229265193742,60.5223104865954,0.00146560963121013,5.00622881593817,0.00383558689541579,0.00158190871957826,351.043842935311,65.5354224077798,1825312582.23267,21000060.2755865,979426800.684736,403944386.723084,4749971957.46353,29151996.0228108,1656660879.96018,683255617.158717,3229683829.91607,7119040450.60524,4002.13447548919,200.017921667311,0,0,13.8858612424595,160.679746545482,38.429589887953,0.0135442892375132,0.0256554651667085,0.049533012737942,0.0903655910118201,0.0841883849151534,0.205634146386038,8.42981572343286e-05,0.00199460704298527
"55",353.097956011527,0.000204872466173872,0.331026445328144,0.000446602293069976,0.000184191906181402,61.1646872314092,0.00147414470080225,5.0353311064143,0.00385804504007543,0.0015911711182232,353.42981812352,66.2069416986826,1828365654.98257,21040982.7241186,981160069.890939,404659237.864625,4795228316.88254,29444395.7789687,1672684313.28462,689864151.806652,3235225945.46226,7187221177.75278,3908.60602833238,195.343574582862,0,0,14.1974625329362,164.280196216614,39.4188038110893,0.0136041646207845,0.0261584709134767,0.0497725100768938,0.0907449120812233,0.0858933893345944,0.209650810699677,8.43452224012228e-05,0.0020224075257508
"56",355.518165353406,0.000197392464984349,0.316285140689969,0.000427882663090895,0.000176471380822798,61.8084989739936,0.00148286164447738,5.06507270885845,0.00388099913083144,0.00160063805960845,355.835252240605,66.8805361816869,1831214461.24013,21079467.1420705,982782291.46897,405328289.701892,4839686074.48834,29731714.4613596,1688426279.07987,696356600.976446,3240404509.55306,7254200669.00602,3817.26330743767,190.778465313123,0,0,14.5113508292832,167.905117428137,40.4181538744656,0.0136615312369657,0.0266644209610465,0.0500031278294018,0.0911073240927247,0.0876088597885558,0.213691015089136,8.43882362960571e-05,0.0020502490498565
"57",357.957256365152,0.000190270574953169,0.302229325476885,0.00041004243520521,0.000169113546723053,62.453819575168,0.00149175531533263,5.09543412659117,0.00390443395149762,0.00161030326813179,358.260255117186,67.5562601942941,1833872916.33843,21115674.4734654,984300946.038617,405954627.462255,4883363252.05092,30014062.7834222,1703893064.62001,702735557.724639,3245244164.31276,7320005937.179,3728.05523316633,186.320041009548,0,0,14.8275422390231,171.55470975881,41.4276714017364,0.0137165068545864,0.0271733795098441,0.0502252915057903,0.0914536132210151,0.0893349974523454,0.217755263115799,8.44275683947802e-05,0.00207813877677627
"58",360.415371857484,0.000183490494886352,0.288827329771999,0.000393041071364599,0.000162101684800089,63.100721534985,0.00150082085798934,5.12639706174596,0.00392833520691154,0.00162016084804826,360.704937820507,68.2341679136439,1836353983.38951,21149754.7529353,985723004.028,406541125.955051,4926277180.04937,30291547.4029437,1719090719.13009,709003516.929358,3249767868.1255,7384662963.51176,3640.93191959245,181.965808482744,0,0,15.146052992476,175.229173913858,42.4473885367446,0.013769203818779,0.0276854088188924,0.0504394071499107,0.091784529317199,0.0910719979539478,0.221844043228304,8.4463553565304e-05,0.00210608353974001
"59",362.892654410783,0.000177036663384982,0.276048949788309,0.000376839906920656,0.000155419848616994,63.7492760652387,0.0015100536959221,5.15794434940182,0.0039526894736796,0.00163020526315599,363.16941265699,68.9143133630733,1838669738.52982,21181847.8489238,987054960.561005,407090463.960189,4968444540.06908,30564271.1613559,1734025068.23161,715162881.248065,3253997010.89994,7448196760.71011,3555.84464660631,177.713332808262,0,0,15.4668994435652,178.928711737658,43.4773382411015,0.0138197293014257,0.0282005693231576,0.0506458622305461,0.0921007875904654,0.0928200516994424,0.225957829694967,8.44964953522581e-05,0.00213408986557027
"60",365.389246445924,0.000170894226110795,0.263865379854351,0.000361402064109014,0.000149052828700328,64.3995531582032,0.0015194495190922,5.19005989542558,0.00397748415358002,0.0016404313175782,365.653793174898,69.5967504186191,1840831431.6916,21212084.1563275,988302867.958977,407605137.632799,5009881404.08314,30832333.3063014,1748701727.34043,721215966.643227,3257951521.4397,7510631431.3731,3472.74583266971,173.560235964961,0,0,15.7900980706282,182.653526226448,44.5175542918648,0.0138681855398021,0.0287189197446878,0.0508450264925485,0.0924030702117344,0.0945793441831365,0.230097083485024,8.45266689482092e-05,0.00216216399495209
"61",367.905290292055,0.000165049004413438,0.252249147570796,0.000346692369532206,0.000142986118507633,65.0516216518152,0.00152900427192144,5.22272861781117,0.00400270742947976,0.00165083413758205,368.158194167118,70.2815328154654,1842849543.20742,21240585.2419967,989472366.019663,408087472.991161,5050603270.85756,31095829.6986451,1763126114.09571,727165007.508402,3261649967.46025,7571990222.16033,3391.58900820788,169.504195505204,0,0,16.1156654772361,186.403821541062,45.5680712793157,0.0139146700642446,0.0292405171978661,0.0510372527694778,0.0926920278429169,0.0963500562830006,0.234262253101545,8.45543238813275e-05,0.0021903119012622
