"N0","S0","L0","F0","I0","J0","N1","S1","L1","F1","I1","J1","latCost","actCost","totCost"
2824390,2808468,15895,3,16,8,440587,394364,46172,6,32,13,1.85475e+09,4.76092e+09,6.61567e+09
2825516,2809635,15852,4,15,10,440993,394778,46166,5,32,12,1.85837e+09,4.7701e+09,6.62847e+09
2826645,2810817,15801,2,14,11,441386,395185,46152,6,31,12,1.86156e+09,4.77958e+09,6.64114e+09
2827773,2811985,15761,2,13,12,441788,395588,46149,4,33,14,1.86295e+09,4.7878e+09,6.65075e+09
2828899,2813164,15709,1,13,12,442193,395998,46146,4,31,14,1.86516e+09,4.79668e+09,6.66184e+09
2830031,2814338,15667,1,14,11,442592,396391,46155,4,29,13,1.86876e+09,4.80482e+09,6.67358e+09
2831157,2815513,15619,1,14,10,442996,396793,46159,3,28,13,1.87194e+09,4.81295e+09,6.68488e+09
2832285,2816693,15565,1,15,11,443404,397203,46159,3,29,10,1.87731e+09,4.82179e+09,6.6991e+09
2833412,2817874,15511,1,15,11,443798,397618,46136,3,31,10,1.87772e+09,4.83134e+09,6.70907e+09
2834541,2819051,15463,2,15,10,444188,398016,46127,4,31,10,1.87814e+09,4.83969e+09,6.71783e+09
2835671,2820225,15417,3,16,10,444588,398426,46117,4,31,10,1.88129e+09,4.8486e+09,6.72989e+09
2836806,2821400,15378,2,17,9,444996,398820,46132,5,30,9,1.88294e+09,4.85667e+09,6.7396e+09
2837939,2822573,15336,3,19,8,445397,399223,46130,5,29,10,1.88746e+09,4.86498e+09,6.75243e+09
2839078,2823748,15299,3,21,7,445799,399643,46112,5,29,10,1.89019e+09,4.87451e+09,6.7647e+09
2840214,2824932,15251,4,20,7,446203,400056,46099,6,30,12,1.89155e+09,4.88387e+09,6.77543e+09
2841347,2826120,15199,4,17,7,446596,400461,46087,7,29,12,1.89782e+09,4.89282e+09,6.79064e+09
2842487,2827289,15171,4,17,6,446983,400863,46070,8,30,12,1.90095e+09,4.90088e+09,6.80183e+09
2843629,2828470,15133,4,16,6,447386,401252,46087,9,28,10,1.90584e+09,4.90872e+09,6.81456e+09
2844763,2829660,15078,4,15,6,447795,401658,46090,8,29,10,1.90665e+09,4.91783e+09,6.82448e+09
2845901,2830848,15028,3,16,6,448188,402085,46054,8,30,11,1.90841e+09,4.92778e+09,6.8362e+09
2847043,2832039,14979,3,17,5,448593,402506,46038,9,30,10,1.91193e+09,4.93737e+09,6.8493e+09
2848190,2833222,14944,3,16,5,448995,402907,46039,9,31,9,1.91504e+09,4.94572e+09,6.86076e+09
2849328,2834420,14887,2,13,6,449392,403294,46049,9,31,9,1.9176e+09,4.95447e+09,6.87207e+09
2850468,2835614,14834,2,12,6,449792,403700,46039,10,34,9,1.918e+09,4.96366e+09,6.88166e+09
2851612,2836810,14782,2,12,6,450208,404113,46043,10,33,9,1.92069e+09,4.97309e+09,6.89378e+09
2852757,2838003,14733,2,13,6,450610,404517,46044,9,31,9,1.92512e+09,4.98185e+09,6.90697e+09
2853902,2839185,14696,2,13,6,451008,404909,46050,9,32,8,1.92821e+09,4.98964e+09,6.91785e+09
2855050,2840378,14655,1,11,5,451415,405314,46052,11,31,7,1.93302e+09,4.99858e+09,6.9316e+09
2856198,2841568,14613,0,13,4,451809,405716,46041,11,32,9,1.9365e+09,5.00675e+09,6.94324e+09
2857341,2842759,14566,0,11,5,452202,406138,46014,11,32,7,1.93863e+09,5.0161e+09,6.95474e+09
2858486,2843946,14523,0,12,5,452595,406520,46021,11,34,9,1.94037e+09,5.02325e+09,6.96362e+09
2859633,2845143,14475,0,10,5,452997,406914,46030,9,32,12,1.94542e+09,5.03128e+09,6.97671e+09
2860777,2846325,14437,0,10,5,453395,407307,46033,9,34,12,1.94675e+09,5.03876e+09,6.98551e+09
2861924,2847509,14401,0,9,5,453790,407727,46007,10,34,12,1.94795e+09,5.04756e+09,6.99551e+09
2863074,2848705,14357,0,7,5,454186,408123,46009,10,31,13,1.95179e+09,5.05551e+09,7.0073e+09
2864224,2849909,14305,0,6,4,454584,408529,46000,10,31,14,1.95298e+09,5.06434e+09,7.01732e+09
2865374,2851103,14260,0,7,4,454989,408945,45990,11,30,13,1.95681e+09,5.07316e+09,7.02997e+09
2866524,2852295,14216,0,7,6,455392,409351,45989,11,29,12,1.96248e+09,5.08162e+09,7.0441e+09
2867673,2853484,14174,0,8,7,455786,409739,45994,12,31,10,1.96419e+09,5.08873e+09,7.05292e+09
2868827,2854683,14130,0,7,7,456186,410140,45990,14,32,10,1.96551e+09,5.09726e+09,7.06277e+09
2869979,2855889,14077,0,6,7,456593,410558,45977,15,32,11,1.96629e+09,5.10676e+09,7.07306e+09
2871136,2857087,14038,0,5,6,456984,410969,45956,13,35,11,1.96839e+09,5.11561e+09,7.08401e+09
2872290,2858290,13989,0,6,5,457380,411390,45931,13,35,11,1.97049e+09,5.1247e+09,7.09518e+09
2873443,2859497,13935,0,6,5,457794,411829,45909,12,32,12,1.97689e+09,5.13479e+09,7.11169e+09
2874599,2860706,13880,0,7,6,458191,412223,45908,14,34,12,1.9782e+09,5.14341e+09,7.12161e+09
2875754,2861899,13842,0,7,6,458594,412609,45922,14,38,11,1.97859e+09,5.1504e+09,7.12899e+09
2876913,2863103,13795,0,8,7,458991,413020,45911,15,36,9,1.98497e+09,5.15918e+09,7.14415e+09
2878070,2864299,13756,0,8,7,459392,413422,45910,14,37,9,1.98497e+09,5.16722e+09,7.15219e+09
2879232,2865512,13704,0,9,7,459802,413823,45918,13,38,10,1.98536e+09,5.17598e+09,7.16134e+09
2880395,2866708,13671,0,9,7,460200,414222,45917,12,40,9,1.98834e+09,5.18371e+09,7.17204e+09
2881553,2867901,13636,0,9,7,460589,414620,45908,13,39,9,1.99079e+09,5.19147e+09,7.18227e+09
2882711,2869109,13585,0,10,7,460980,415007,45912,14,35,12,1.99506e+09,5.19898e+09,7.19404e+09
2883870,2870314,13539,1,11,5,461368,415392,45916,14,34,12,1.99751e+09,5.20629e+09,7.20379e+09
2885034,2871528,13489,1,11,5,461773,415787,45921,13,38,14,1.99789e+09,5.21532e+09,7.21321e+09
2886195,2872725,13452,1,11,6,462160,416175,45922,13,36,14,2.00458e+09,5.22241e+09,7.22699e+09
2887358,2873928,13413,0,10,7,462556,416565,45931,13,32,15,2.01267e+09,5.22982e+09,7.2425e+09
2888520,2875130,13373,0,10,7,462958,416952,45944,14,32,16,2.01473e+09,5.23718e+09,7.25191e+09
2889686,2876347,13323,0,9,7,463366,417370,45935,14,31,16,2.02151e+09,5.24611e+09,7.26763e+09
2890854,2877556,13282,0,9,7,463778,417787,45930,14,31,16,2.02407e+09,5.25498e+09,7.27905e+09
2892018,2878764,13239,0,8,7,464175,418187,45928,13,33,14,2.0256e+09,5.2626e+09,7.2882e+09
2893186,2879970,13200,0,8,8,464580,418571,45951,10,36,12,2.02853e+09,5.26967e+09,7.2982e+09
2894352,2881178,13158,0,8,8,464980,419007,45918,10,34,11,2.03261e+09,5.27908e+09,7.31168e+09
